conselho ;conselheiro;setor;posicao
Cultura;Cássio Leandro Moreira Peixoto;Sociedade civil;Titular
Cultura;Wellington Cordeiro;Sociedade civil;Suplente
Cultura;Joilson Bessa da Silva;Sociedade civil;Titular
Cultura;Humberto Moreira Rangel;Sociedade civil;Suplente
Cultura;Marcelo Pereira de Carvalho Sampaio;Sociedade civil;Titular
Cultura;Elzana da Silva Pereira;Sociedade civil;Suplente
Cultura;Mariana de Freitas Fagundes;Sociedade civil;Titular
Cultura;Tarianne da Silva Pinto Bertoza;Sociedade civil;Suplente
Cultura;Sylvia Marcia da Silva Paes;Sociedade civil;Titular
Cultura;Rossini Reis;Sociedade civil;Suplente
Cultura;Kátia Macabu de Sousa Soares;Sociedade civil;Titular
Cultura;Iara de Souza Lima;Sociedade civil;Suplente
Cultura;Elis de Araújo Miranda;Sociedade civil;Titular
Cultura;Jonas Defante Terra;Sociedade civil;Suplente
Cultura;Ronaldo Henrique Barbosa Júnior;Sociedade civil;Titular
Cultura;Vilmar Ferreira Rangel;Sociedade civil;Suplente
Cultura;Anderson Luiz Barreto da Silva;Sociedade civil;Titular
Cultura;Peterson Lobato Azevedo;Sociedade civil;Suplente
Cultura;Humberto Fernandes;Sociedade civil;Titular
Cultura;Edmilson Antônio Mota;Sociedade civil;Suplente
Cultura;Fabrício da Silva Simões;Sociedade civil;Titular
Cultura;Liana Macabu de Sousa Soares;Sociedade civil;Suplente
ALIMENTAÇÃO ESCOLAR ;Wagner de Paula Almeida Pereira;Poder Público;titular
ALIMENTAÇÃO ESCOLAR ; Alessandra Frasnelli Faria;Poder Público;Suplente
ALIMENTAÇÃO ESCOLAR ;Ilbenir Pessanha Crespo;Sociedade civil;titular
ALIMENTAÇÃO ESCOLAR ;Ricardo Gonçalves de Carvalho;Sociedade civil;Suplente
ALIMENTAÇÃO ESCOLAR ;Rosana Corrêa Juncá;Sociedade civil;titular
ALIMENTAÇÃO ESCOLAR ;Maria Aparecida Imbeloni Henriques;Sociedade civil;Suplente
